"";"Site";"Site_short";"Altitude";"Horizon";"Zone_echantillonage";"rep_pcr";"EXTRACTION.CODE";"Milieu";"Code_plot";"X";"Gradient";"Carbon";"Nitrogen";"pH";"Organic_matter_2mm";"EEA_AG";"EEA_BG";"EEA_CB";"EEA_LAP";"EEA_XYL";"EEA_PHOS";"EEA_NAG";"Environment";"Alt_groups";"sample";"category";"site";"chlorophyta_part";"dist_barycenter"
"CHA05_a";"CHAMROUSSE";"CHA";1250;"SOL";"B";5;"CHA05";"Milieu forestier";"CHA_1250_SOL";14;"CHA";6,41480191566667;0,488991846666667;5,3;11,94807311;8,69666666666667;347,176666666667;60,5766666666667;190,98;101,233333333333;3190,69666666667;253,74;"Milieu forestier";1500;"CHA05_a";"sample";"CHA";0,457144709543568;0,705158005990967
"CHA05_c";"CHAMROUSSE";"CHA";1250;"SOL";"B";5;"CHA05";"Milieu forestier";"CHA_1250_SOL";14;"CHA";6,41480191566667;0,488991846666667;5,3;11,94807311;8,69666666666667;347,176666666667;60,5766666666667;190,98;101,233333333333;3190,69666666667;253,74;"Milieu forestier";1500;"CHA05_c";"sample";"CHA";0,150122174709835;0,705158005990967
"CHA06_b";"CHAMROUSSE";"CHA";1250;"SOL";"C";6;"CHA06";"Milieu forestier";"CHA_1250_SOL";14;"CHA";6,41480191566667;0,488991846666667;5,3;11,94807311;8,69666666666667;347,176666666667;60,5766666666667;190,98;101,233333333333;3190,69666666667;253,74;"Milieu forestier";1500;"CHA06_b";"sample";"CHA";0,691529881200689;0,701410811682171
"CHA06_c";"CHAMROUSSE";"CHA";1250;"SOL";"C";6;"CHA06";"Milieu forestier";"CHA_1250_SOL";14;"CHA";6,41480191566667;0,488991846666667;5,3;11,94807311;8,69666666666667;347,176666666667;60,5766666666667;190,98;101,233333333333;3190,69666666667;253,74;"Milieu forestier";1500;"CHA06_c";"sample";"CHA";0,805440603700097;0,701410811682171
"CHA07_a";"CHAMROUSSE";"CHA";1470;"LIT";"A";7;"CHA07";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA07_a";"sample";"CHA";0,7269623494452;0,255323547817822
"CHA07_b";"CHAMROUSSE";"CHA";1470;"LIT";"A";7;"CHA07";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA07_b";"sample";"CHA";0,664649426819515;0,234269250452853
"CHA07_c";"CHAMROUSSE";"CHA";1470;"LIT";"A";7;"CHA07";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA07_c";"sample";"CHA";0,708372266866006;0,283220835845529
"CHA08_a";"CHAMROUSSE";"CHA";1470;"LIT";"B";8;"CHA08";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA08_a";"sample";"CHA";0,733408412858357;0,239820454436869
"CHA08_b";"CHAMROUSSE";"CHA";1470;"LIT";"B";8;"CHA08";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA08_b";"sample";"CHA";0,743548139165485;0,247757602916614
"CHA08_c";"CHAMROUSSE";"CHA";1470;"LIT";"B";8;"CHA08";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA08_c";"sample";"CHA";0,721646597591711;0,250229457577365
"CHA09_a";"CHAMROUSSE";"CHA";1470;"LIT";"C";9;"CHA09";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA09_a";"sample";"CHA";0,59322706730182;0,293283499103056
"CHA09_c";"CHAMROUSSE";"CHA";1470;"LIT";"C";9;"CHA09";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA09_c";"sample";"CHA";0,645273716422985;0,293283499103056
"CHA10_a";"CHAMROUSSE";"CHA";1470;"SOL";"A";10;"CHA10";"Milieu forestier";"CHA_1470_SOL";16;"CHA";9,140461922;0,469707767333333;4,6425;15,5562670333333;8,90666666666667;257,4;1314,37333333333;242,01;43,2666666666667;6340;595,333333333333;"Milieu forestier";1500;"CHA10_a";"sample";"CHA";0,768004851425106;0,431662828192622
"CHA10_c";"CHAMROUSSE";"CHA";1470;"SOL";"A";10;"CHA10";"Milieu forestier";"CHA_1470_SOL";16;"CHA";9,140461922;0,469707767333333;4,6425;15,5562670333333;8,90666666666667;257,4;1314,37333333333;242,01;43,2666666666667;6340;595,333333333333;"Milieu forestier";1500;"CHA10_c";"sample";"CHA";0,651910473599604;0,431662828192622
"CHA11_a";"CHAMROUSSE";"CHA";1470;"SOL";"B";11;"CHA11";"Milieu forestier";"CHA_1470_SOL";16;"CHA";9,140461922;0,469707767333333;4,6425;15,5562670333333;8,90666666666667;257,4;1314,37333333333;242,01;43,2666666666667;6340;595,333333333333;"Milieu forestier";1500;"CHA11_a";"sample";"CHA";0,817380460956312;0,348852647555833
"CHA11_c";"CHAMROUSSE";"CHA";1470;"SOL";"B";11;"CHA11";"Milieu forestier";"CHA_1470_SOL";16;"CHA";9,140461922;0,469707767333333;4,6425;15,5562670333333;8,90666666666667;257,4;1314,37333333333;242,01;43,2666666666667;6340;595,333333333333;"Milieu forestier";1500;"CHA11_c";"sample";"CHA";0,902754971720489;0,348852647555833
"CHA12_a";"CHAMROUSSE";"CHA";1470;"SOL";"C";12;"CHA12";"Milieu forestier";"CHA_1470_SOL";16;"CHA";9,140461922;0,469707767333333;4,6425;15,5562670333333;8,90666666666667;257,4;1314,37333333333;242,01;43,2666666666667;6340;595,333333333333;"Milieu forestier";1500;"CHA12_a";"sample";"CHA";0,797207787455171;0,382454367011658
